"Дата и время: начало(минимум)","Дата и время","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Ветер: зональная составляющая скорости ветра (u-компонента ветра)","Ветер: меридиональная  составляющая скорости ветра (v- компонента ветра)","Волнение преобладающее: высота","Волнение ветровое: длина средняя","Волнение ветровое: период  средний","Волнение преобладающее: направление","Волнение: зыбь 1-й системы, высота","Волнение: зыбь 1-й системы, направление"
"2021-03-07 00:00:00","2021-03-07 15:00:00","40.9","38.4","-2.6","-1.8","1.0","69","6.4","","1.0",""
"2021-03-07 00:00:00","2021-03-07 15:00:00","40.9","38.5","-2.2","-1.8","1.2","76","6.8","","1.2",""
"2021-03-07 00:00:00","2021-03-08 00:00:00","44.0","38.0","3.4","-0.2","0.2","17","3.2","","",""
"2021-03-07 00:00:00","2021-03-08 00:00:00","40.9","38.4","-3.2","-2.9","0.7","52","5.6","","0.6","267"
"2021-03-07 00:00:00","2021-03-09 15:00:00","46.6","31.9","2.5","-2.0","0.0","","","","",""
"2021-03-07 00:00:00","2021-03-09 15:00:00","46.6","32.0","2.9","-1.3","0.0","","","","",""
"2021-03-07 00:00:00","2021-03-07 21:00:00","46.1","31.1","7.9","6.8","1.5","40","4.9","52","",""
"2021-03-07 00:00:00","2021-03-07 21:00:00","46.1","31.2","8.0","6.8","1.6","40","5.0","49","",""
"2021-03-07 00:00:00","2021-03-09 12:00:00","44.1","34.0","4.6","-2.0","0.5","30","4.2","10","0.1","127"
"2021-03-07 00:00:00","2021-03-09 12:00:00","44.1","34.1","3.9","-1.5","0.4","31","4.3","12","0.4","11"
"2021-03-07 00:00:00","2021-03-08 21:00:00","44.5","35.1","7.0","4.3","0.9","27","4.0","26","",""
"2021-03-07 00:00:00","2021-03-08 21:00:00","44.5","35.2","7.1","4.5","1.0","27","4.0","24","",""
"2021-03-07 00:00:00","2021-03-08 03:00:00","44.1","33.5","4.1","2.7","0.3","25","3.9","","0.3",""
"2021-03-07 00:00:00","2021-03-08 03:00:00","44.1","33.6","4.1","2.5","0.3","24","3.8","","0.3",""
"2021-03-07 00:00:00","2021-03-09 18:00:00","43.8","35.3","-3.4","2.5","0.4","31","4.3","5","0.4","4"
"2021-03-07 00:00:00","2021-03-09 18:00:00","43.8","35.4","-3.7","2.4","0.4","31","4.3","4","0.4","4"
"2021-03-07 00:00:00","2021-03-09 00:00:00","43.8","35.0","5.7","2.4","0.8","41","4.9","","",""
"2021-03-07 00:00:00","2021-03-09 00:00:00","43.8","35.1","5.7","2.2","0.7","41","4.8","","",""
"2021-03-07 00:00:00","2021-03-08 06:00:00","42.7","29.7","3.6","5.0","0.6","28","4.0","","0.3","198"
"2021-03-07 00:00:00","2021-03-08 06:00:00","42.7","29.8","3.5","4.9","0.5","29","4.1","","0.3","198"
"2021-03-07 00:00:00","2021-03-07 12:00:00","44.3","31.8","3.3","0.3","0.4","28","4.0","","0.3",""
"2021-03-07 00:00:00","2021-03-07 12:00:00","44.3","31.9","3.3","0.2","0.4","28","4.0","","0.3",""
"2021-03-07 00:00:00","2021-03-09 21:00:00","43.9","33.5","-0.8","-4.3","0.4","21","3.5","","0.2","16"
"2021-03-07 00:00:00","2021-03-09 21:00:00","43.9","33.6","-0.5","-4.0","0.4","21","3.5","","0.2","15"
"2021-03-07 00:00:00","2021-03-09 03:00:00","41.7","30.3","3.3","3.5","0.2","25","3.8","","0.2","209"
"2021-03-07 00:00:00","2021-03-09 03:00:00","41.7","30.4","3.2","3.6","0.2","24","3.7","","0.2","209"
"2021-03-07 00:00:00","2021-03-09 03:00:00","41.7","30.5","3.0","3.7","0.2","23","3.7","","0.2","210"
"2021-03-07 00:00:00","2021-03-09 03:00:00","41.7","30.6","2.9","3.9","0.2","23","3.7","","0.2","211"
"2021-03-07 00:00:00","2021-03-08 09:00:00","41.6","40.3","-0.6","-1.5","0.5","40","4.9","","0.4",""
"2021-03-07 00:00:00","2021-03-08 09:00:00","41.6","40.4","-0.3","-1.7","0.5","40","4.9","","0.4",""
